 V1-form,i1-form,V1-set,i1-set
7.66,0.00050004,0.45,0.00049002
7.68,0.00050006,0.425,0.00046174
7.7,0.00050002,0.4,0.000433
7.72,0.00050004,0.375,0.00040476
7.74,0.00050002,0.35,0.00037684
7.76,0.00050002,0.325,0.00034928
7.78,0.00050004,0.3,0.00032212
7.8,0.0005,0.275,0.00029412
7.82,0.00050004,0.25,0.00026684
7.84,0.0005,0.225,0.00023968
7.86,0.00050002,0.2,0.00021252
7.88,0.00050004,0.175,0.00018552
7.9,0.00050004,0.15,0.00015868
7.92,0.00050006,0.125,0.0001321
7.94,0.00050002,0.1,0.0001054
7.96,0.00050004,0.075,7.90E-05
7.98,0.00050002,0.05,5.28E-05
8,0.00050002,0.025,2.64E-05
8.02,0.00050004,0,1.22E-07
8.04,0.00050004,0,1.53E-07
8.06,0.00050004,-0.02,-2.07E-05
8.08,0.00050002,-0.04,-4.18E-05
8.1,0.00050004,-0.06,-6.28E-05
8.12,0.00050004,-0.08,-8.38E-05
8.14,0.0005,-0.1,-0.000104988
8.16,0.0005,-0.12,-0.00012632
8.18,0.00050004,-0.14,-0.00014762
8.2,0.00050002,-0.16,-0.00016892
8.22,0.00050004,-0.18,-0.0001903
8.24,0.00050002,-0.2,-0.00021206
8.26,0.00050004,-0.22,-0.00023364
8.28,0.00050002,-0.24,-0.0002554
8.3,0.00050004,-0.26,-0.00027726
8.32,0.00050002,-0.28,-0.00029922
8.34,0.00050004,-0.3,-0.00032112
8.36,0.00050002,-0.32,-0.0003431
8.38,0.00050002,-0.34,-0.0003647
8.4,0.00050004,-0.36,-0.00038644
8.42,0.00050004,-0.38,-0.00040866
8.44,0.00050004,-0.4,-0.00043006
8.46,0.00050004,-0.42,-0.00045294
8.48,0.0005,-0.44,-0.00047548
8.5,0.00050002,-0.46,-0.0004967
8.52,0.00050004,-0.48,-0.00051472
8.54,0.00050002,-0.5,-0.00053472
8.56,0.00050002,-0.52,-0.00054644
8.58,0.0005,-0.54,-0.0005561
8.6,0.00050004,-0.56,-0.00055608
8.62,0.00050002,-0.58,-0.00055008
8.64,0.00050004,-0.6,-0.0004984
8.66,0.00050002,-0.62,-0.00042866
8.68,0.00050004,-0.64,-0.00041192
8.7,0.00050004,-0.66,-0.0004101
8.72,0.00050004,-0.68,-0.0003795
8.74,0.00050004,-0.7,-0.00038412
8.76,0.00050004,-0.72,-0.00038774
8.78,0.0005,-0.74,-0.00039182
8.8,0.00050002,-0.76,-0.00035916
8.82,0.00050004,-0.78,-0.0003426
8.84,0.00050004,-0.8,-0.00029786
8.86,0.0005,-0.82,-0.00026436
8.88,0.0005,-0.84,-0.00030764
8.9,0.00050004,-0.86,-0.00019208
