branch,state,v_lo,v_hi,mechanism,slope,intercept,r2,bic,delta_bic,mechanism_second,ambiguous,eps_r_dyn,n_points,stanford_valid,condition
RESET,RESET_LRS_PRE,0.06,0.66,ohmic,1.0298552196388302,-3.347253428473334,0.9978313257631104,-260.65388187352687,74.01504896036354,schottky,0,,31,1,S6
RESET,RESET_LRS_PRE,0.2,0.94,schottky,1.7596076617241798,-4.870097388692878,0.9698846488889612,-225.0749269429233,20.601132000425736,ohmic,0,18.750048975038457,38,0,S6
RESET,RESET_LRS_PRE,0.48,1.2,ohmic,1.3050656205397997,-3.217323517864287,0.738664202428468,-144.22743708292566,5.720563698673999,schottky,1,,31,1,S6
RESET,RESET_LRS_PRE,0.62,1.9,unclassified,,,,,,,0,,59,0,S6
RESET,RESET_HRS_POST,0.06,1.0,ohmic,1.20219903642394,-4.126206695370978,0.996360944558355,-356.98084921224995,72.81041583531822,schottky,0,,48,1,S6
RESET,RESET_HRS_POST,0.54,1.32,schottky,1.3461756415069004,-5.439123569291058,0.997150945326646,-371.6752207241118,9.393771675195126,ohmic,0,32.03543601318201,40,0,S6
RESET,RESET_HRS_POST,0.86,1.64,ohmic,1.5469374804562452,-4.091406350569201,0.9978178173305094,-402.59437851176415,41.41150773150633,schottky,0,,40,1,S6
RESET,RESET_HRS_POST,1.1800000000000002,1.96,schottky,1.0909849631649953,-5.15738102121543,0.9963627451780216,-400.4981340494557,15.553468784903204,ohmic,0,48.77491996407389,40,0,S6
SET,SET_HRS_PRE,0.05,0.5750000000000001,ohmic,1.0221473724242742,-4.34549763104187,0.9897568168883408,-147.98392582660225,37.8073479258091,schottky,0,,22,1,S7
SET,SET_HRS_PRE,0.4,0.725,schottky,1.4405839647420493,-5.686201111424143,0.907871922299773,-91.91039872615356,2.757962914087443,ohmic,1,27.974152783250364,14,0,S7
SET,SET_LRS_POST,0.05,0.475,ohmic,1.0188698063260997,-3.017814793721557,0.99992212965736,-210.32392642990183,101.032343998371,schottky,0,,18,1,S7
RESET,RESET_LRS_PRE,0.06,0.86,ohmic,0.7280697104236231,-3.2279692813230363,0.7958039358844792,-173.67275280821153,20.128038439812144,schottky,0,,41,1,S7
RESET,RESET_LRS_PRE,0.38,1.34,unclassified,,,,,,,0,,49,0,S7
RESET,RESET_LRS_PRE,0.86,1.5,ohmic,1.1373278462289678,-3.744245388848815,0.2796362540548688,-127.47694689880286,inf,,0,,33,1,S7
RESET,RESET_LRS_PRE,1.02,1.66,fowler_nordheim,0.1818717256681827,-3.6928349298337313,0.8951696991515474,-191.5185415377292,0.644163205462803,ohmic,1,,33,0,S7
RESET,RESET_LRS_PRE,1.1800000000000002,1.98,schottky,3.244246717405728,-7.350560220281235,0.8540519438548231,-161.80711832085777,1.3384440267606692,poole_frenkel,1,5.5157725265205535,41,0,S7
RESET,RESET_HRS_POST,0.06,1.1800000000000002,ohmic,1.3578493277161627,-4.095523812565636,0.9967966581727482,-414.58425870306735,104.28251555968632,schottky,0,,57,1,S7
RESET,RESET_HRS_POST,0.7000000000000001,1.98,schottky,2.475867609254531,-6.577799519702291,0.8226478236642691,-207.3453883174089,14.243373828845336,ohmic,0,9.470638480344135,65,0,S7
SET,SET_HRS_PRE,0.05,0.325,ohmic,1.0953834965803466,-4.238387487660866,0.9971451995130572,-97.02348094699448,13.4182663934685,schottky,0,,12,1,S8
SET,SET_HRS_PRE,0.125,0.85,schottky,2.4436727141196424,-6.138433404549375,0.978669099172719,-162.57655597511635,29.15441690228189,ohmic,0,9.721829852977056,30,0,S8
SET,SET_LRS_POST,0.05,0.525,ohmic,1.0328996853025256,-3.0855728573733856,0.9997092790734036,-206.1255725183593,85.35495386893204,schottky,0,,20,1,S8
RESET,RESET_LRS_PRE,0.06,0.8400000000000001,ohmic,0.9970935903836592,-3.108752244601326,0.9907350467169656,-277.07231900055336,72.0378200844431,schottky,0,,40,1,S8
RESET,RESET_LRS_PRE,0.38,1.32,schottky,1.9586203781454576,-4.835907270582968,0.9182401009316046,-222.94785597122703,20.38883439101636,ohmic,0,15.133297075353536,48,0,S8
RESET,RESET_LRS_PRE,0.86,1.64,fowler_nordheim,0.4748800360613346,-2.4160135456698324,0.9792356368745254,-261.54756482999,13.309590215885777,ohmic,0,,40,0,S8
RESET,RESET_LRS_PRE,1.1800000000000002,1.8,ohmic,1.8717828494067448,-2.738813471306872,0.9918968134150864,-293.09480502622336,16.898560207407286,schottky,0,,32,1,S8
RESET,RESET_HRS_POST,0.06,1.16,schottky,3.5065639952240173,-6.629727814772918,0.9703608876187008,-211.8423828356228,33.54781029984633,poole_frenkel,0,4.721397400914581,56,0,S8
RESET,RESET_HRS_POST,0.7000000000000001,1.64,fowler_nordheim,1.1067094491862788,-1.946390334951029,0.967466014490704,-228.4215257914399,25.563380762926982,ohmic,0,,48,0,S8
RESET,RESET_HRS_POST,1.1800000000000002,1.8,ohmic,1.9422624007274127,-2.7553189462443948,0.9913497614197764,-288.6210322136147,16.600729701158116,schottky,0,,32,1,S8
SET,SET_HRS_PRE,0.05,0.4,ohmic,0.9961281973446212,-4.560994972225141,0.9962160661906616,-118.58373701315364,29.09346194940106,schottky,0,,15,1,S9
SET,SET_HRS_PRE,0.2,0.45,schottky,1.6594326308943186,-5.993427030277612,0.9732505299742028,-81.97107814786087,3.960465272107484,ohmic,1,21.0821473083934,11,0,S9
SET,SET_HRS_PRE,0.25,0.75,ohmic,0.8401673648954685,-4.6407176564361015,0.935182778239628,-139.494683842028,5.97053061094249,schottky,1,,21,1,S9
SET,SET_HRS_PRE,0.55,0.8,schottky,3.0997331272782285,-7.25645721354228,0.4164040486338399,-33.27946809914637,0.1068696364678487,poole_frenkel,1,6.042066288833283,11,0,S9
SET,SET_LRS_POST,0.05,0.425,ohmic,0.99661495459062,-2.989269979555836,0.9999977366903048,-244.91250477468404,146.94842657666567,schottky,0,,16,1,S9
RESET,RESET_LRS_PRE,0.06,0.92,ohmic,0.6962030732728326,-3.211702759229755,0.8682443984413505,-178.6992753220312,inf,,0,,38,1,S9
RESET,RESET_LRS_PRE,0.34,1.76,unclassified,,,,,,,0,,66,0,S9
RESET,RESET_LRS_PRE,1.3,1.9,ohmic,0.564049601615217,-3.746449254158536,0.1036321322092374,-148.75525374086013,inf,,0,,31,1,S9
RESET,RESET_HRS_POST,0.06,0.86,ohmic,1.3602865165787776,-4.038945671252598,0.99742655576291,-311.0044451382277,88.98754239594973,schottky,0,,41,1,S9
RESET,RESET_HRS_POST,0.38,1.02,schottky,1.4900161277134183,-5.499395676182403,0.9975416870596076,-307.0052954239175,12.530389266406814,ohmic,0,26.1488236848929,33,0,S9
RESET,RESET_HRS_POST,0.54,1.5,ohmic,1.45856949631944,-4.020704994102775,0.999442966266111,-524.016399508719,110.30761655487665,schottky,0,,49,1,S9
RESET,RESET_HRS_POST,1.02,1.98,schottky,1.2664424348701906,-5.298719725901209,0.994449460195566,-433.9519118618094,39.705975605853325,ohmic,0,36.19621731398382,49,0,S9
SET,SET_HRS_PRE,0.05,0.425,ohmic,1.218522023846319,-5.335983209560102,0.99069650551086,-105.1889712959071,1.8292549735307944,schottky,1,,16,1,S10
SET,SET_HRS_PRE,0.2,0.65,ohmic,1.0359270579684283,-5.442595151554798,0.9217046066637926,-111.23618527290763,7.560827951797393,schottky,0,,19,1,S10
SET,SET_HRS_PRE,0.425,0.8,schottky,1.525692502423244,-6.832438261017456,0.8209719112888026,-88.49285279323215,2.0351421666264717,ohmic,1,24.940207993965178,16,0,S10
SET,SET_HRS_PRE,0.5750000000000001,0.875,fowler_nordheim,0.0465057028076681,-5.18638030246796,0.8712930311427856,-74.4877137489136,0.027691463538062,ohmic,1,,13,0,S10
SET,SET_HRS_PRE,0.65,0.95,schottky,2.854443228699979,-7.955339569739197,0.8200927329558085,-63.95494519630231,0.9541765675472648,ohmic,1,7.12510510852487,13,0,S10
SET,SET_LRS_POST,0.05,0.375,ohmic,0.9975071481591644,-2.9268942530018287,0.999999075731506,-227.49327472721149,139.5547441578081,schottky,0,,14,1,S10
RESET,RESET_LRS_PRE,0.06,0.76,ohmic,0.935298325574928,-2.973956013017287,0.972404572531976,-191.35128975810028,36.07845278376442,schottky,0,,32,1,S10
RESET,RESET_LRS_PRE,0.22,1.56,unclassified,,,,,,,0,,64,0,S10
RESET,RESET_LRS_PRE,1.1,1.72,ohmic,0.0123382463352933,-4.155208484591942,5.823078529310077e-05,-145.01533316415046,inf,,0,,32,1,S10
RESET,RESET_LRS_PRE,1.26,1.88,schottky,0.997821162523588,-5.395749848212605,0.7811870481635308,-200.6139911522665,0.1925241771945707,ohmic,1,58.30807101019487,32,0,S10
RESET,RESET_HRS_POST,0.06,0.68,ohmic,1.8156859728113084,-4.489114638772928,0.9945925024963062,-203.06469312868813,47.76572907440576,schottky,0,,32,1,S10
RESET,RESET_HRS_POST,0.22,0.8400000000000001,schottky,2.459382019902878,-6.787117981709861,0.9945682273837588,-232.16338892033465,19.63043838812783,ohmic,0,9.59803010418618,32,0,S10
RESET,RESET_HRS_POST,0.38,1.0,fowler_nordheim,0.0228416138414066,-4.393348927348992,0.993074495194643,-239.2876059509632,0.7021949157672225,ohmic,1,,32,0,S10
RESET,RESET_HRS_POST,0.54,1.32,ohmic,1.7181182731661986,-4.466013709082876,0.9776185736109118,-274.8879165058798,23.30095270911244,schottky,0,,40,1,S10
RESET,RESET_HRS_POST,0.86,2.0,schottky,1.233078595715226,-5.696192156762104,0.9910058599133804,-453.2746180043779,39.923299364724585,ohmic,0,38.181464013397616,56,0,S10
SET,SET_HRS_PRE,0.05,0.475,ohmic,0.9826193439016536,-4.441044027849663,0.9961848172342168,-141.5101355927489,40.92111664763172,schottky,0,,18,1,S11
SET,SET_HRS_PRE,0.275,0.7000000000000001,schottky,3.2965662541363066,-6.907637071373537,0.5283991745928839,-38.19637514088013,0.5735664454207594,poole_frenkel,1,5.34208111238896,18,0,S11
SET,SET_HRS_PRE,0.5,0.775,poole_frenkel,8.506393841118374,-10.727556927406338,0.776882444620514,-25.65060437294684,0.5168913658606797,ohmic,1,3.2092467758326446,12,1,S11
SET,SET_HRS_PRE,0.5750000000000001,0.85,fowler_nordheim,2.1734609641097613,-0.4255459141752176,0.7645195835779428,-26.45949860348269,0.8888659577336817,ohmic,1,,12,0,S11
SET,SET_LRS_POST,0.05,0.425,ohmic,1.0113911389830998,-3.000020938871022,0.999953745853333,-196.16367320862608,97.11778057462756,schottky,0,,16,1,S11
RESET,RESET_LRS_PRE,0.06,0.8400000000000001,ohmic,0.9336977394836228,-3.0571056262859893,0.9830057948690047,-257.74903997937935,59.7362991116963,schottky,0,,40,1,S11
RESET,RESET_LRS_PRE,0.38,1.32,unclassified,,,,,,,0,,48,0,S11
RESET,RESET_LRS_PRE,0.86,1.48,ohmic,0.6448973529324725,-3.4684177236398552,0.172422697059502,-141.34102381211122,inf,,0,,32,1,S11
RESET,RESET_LRS_PRE,1.02,1.96,schottky,2.494880280850019,-6.218481338877231,0.946298480135581,-250.25108370387736,14.406632310397583,ohmic,0,9.32684317033379,48,0,S11
RESET,RESET_HRS_POST,0.06,0.8400000000000001,ohmic,1.411440345124925,-4.025322474379887,0.9940135565549062,-266.8724127877143,29.1349802185772,schottky,0,,40,1,S11
RESET,RESET_HRS_POST,0.38,1.96,schottky,2.420646440164429,-6.271978087220103,0.9556383538352786,-335.126883607909,55.43541355960923,ohmic,0,9.907666355435513,80,0,S11
SET,SET_HRS_PRE,0.05,0.325,schottky,2.4420253815118658,-6.525935151107848,0.9549501584330066,-64.00774451750908,0.70105335922905,ohmic,1,9.734950510235624,12,0,S12
SET,SET_HRS_PRE,0.15,0.425,ohmic,1.2319242216709172,-4.569321403464379,0.9041944965974807,-64.19682951162734,0.6309188001236095,schottky,1,,12,1,S12
SET,SET_HRS_PRE,0.25,0.625,schottky,2.079547469828338,-6.3483216747451445,0.9089076055653617,-85.33976304406973,4.312271199500174,ohmic,1,13.424447418891956,16,0,S12
SET,SET_HRS_PRE,0.45,0.675,fowler_nordheim,0.1412561486988841,-4.017707257405522,0.9541820066565756,-64.34295172387236,0.1188883334147732,ohmic,1,,10,0,S12
SET,SET_HRS_PRE,0.5,0.775,schottky,4.659093495016855,-8.27552620324314,0.9033825663590986,-54.843546622406,0.3909976761506897,poole_frenkel,1,2.674430053057291,12,0,S12
SET,SET_LRS_POST,0.05,0.7000000000000001,ohmic,0.9912245304656164,-3.178655270752908,0.9999888721494168,-366.293323650647,215.18734062592665,schottky,0,,27,1,S12
RESET,RESET_LRS_PRE,0.06,1.04,ohmic,0.8848062751333804,-3.264269071925743,0.959012927010196,-249.70651167728943,51.50225232131166,schottky,0,,45,1,S12
RESET,RESET_LRS_PRE,0.48,1.6,unclassified,,,,,,,0,,52,0,S12
RESET,RESET_LRS_PRE,1.14,1.88,ohmic,0.3889023200390234,-3.982416061111752,0.1414664394697494,-204.8505340877448,inf,,0,,38,1,S12
RESET,RESET_HRS_POST,0.06,1.66,ohmic,1.4756966815893875,-4.375076480356818,0.9956003809555554,-542.8555300434383,179.36358523245167,schottky,0,,81,1,S12
RESET,RESET_HRS_POST,1.1800000000000002,2.0,schottky,1.1321091454722956,-5.501526076125505,0.9759322340589212,-327.25582681026333,12.36376224726331,ohmic,0,45.29575443772232,41,0,S12
