condition,parameter,theta,theta_point,ci_lo,ci_hi,cv,frac_at_bound
S8,Vel0_set,1.84783,0.173812,0.120177,19.0224,1.196,0.185
S8,Vel0_res,1.13417,17.7503,0.105834,18.3815,1.356,0.27
S8,gap_max_set,1.71624e-09,1.31899e-09,1.0606e-09,2.50147e-09,0.2364,0.06
S8,gap_max_res,1.64198e-09,1.05318e-09,1.03843e-09,2.51785e-09,0.27,0.09
S8,gap_ini_set,1.30831e-09,1.46365e-09,5.54553e-10,2.19961e-09,0.3775,0.005
S8,gap_ini_res,1.41379e-10,1.55858e-10,5.552e-11,2.40897e-10,0.3828,0.025
S9,I0,0.00637802,0.0064713,0.000666017,0.00956427,0.4048,0.01
S9,g0,3.46168e-10,2.9567e-10,1.75024e-10,4.93124e-10,0.2725,0.015
S9,Rs,494.255,420.363,10.1891,1917.19,1.018,1
S9,V0_set,0.920622,1.35727,0.0706633,1.9141,0.6217,0.03
S9,V0_res,1.08112,1.30239,0.0969362,1.96198,0.5668,0.03
S9,gamma0_set,16.522,17.9423,5.1535,23.7332,0.3529,0.02
S9,Ea_set,0.477485,0.84586,0.105468,0.974346,0.5622,0.045
S9,Ea_res,0.618954,0.249203,0.128935,0.980785,0.4485,0.03
S9,F_min_set,1.14857e+09,1.08161e+09,5.09506e+08,2.74978e+09,0.4987,0.065
S9,F_min_res,1.95022e+09,1.0465e+09,5.59149e+08,2.97239e+09,0.4262,0.07
S9,Vel0_set,1.73751,9.43229,0.115651,17.4577,1.193,0.24
S9,Vel0_res,2.3686,1.20253,0.11861,19.0057,1.167,0.175
S9,gap_max_set,1.66745e-09,1.8692e-09,1.0338e-09,2.52982e-09,0.284,0.1
S9,gap_max_res,1.57689e-09,1.15144e-09,1.02351e-09,2.49854e-09,0.2597,0.08
S9,gap_ini_set,1.23271e-09,1.34573e-09,5.64754e-10,2.24146e-09,0.3986,0.005
S9,gap_ini_res,1.60308e-10,9.96941e-11,5.48496e-11,2.43987e-10,0.3715,0.025
S10,I0,0.00679241,0.00481433,0.000359866,0.0098146,0.5131,0.045
S10,g0,3.34135e-10,2.42283e-10,1.87427e-10,4.93859e-10,0.258,0.02
S10,Rs,44.5457,133.728,10.0257,2085.21,2.055,1
S10,V0_set,0.778334,1.57109,0.0780766,1.94605,0.7113,0.01
S10,V0_res,1.119,1.73548,0.0799327,1.98225,0.5498,0.05
S10,gamma0_set,16.896,9.53529,4.50269,23.9164,0.4038,0.055
S10,Ea_set,0.509045,0.195472,0.111444,0.975028,0.4957,0.035
S10,Ea_res,0.56301,0.677126,0.126279,0.962312,0.4451,0.015
S10,F_min_set,1.18795e+09,9.84694e+08,5.18328e+08,2.89811e+09,0.5164,0.04
S10,F_min_res,1.38973e+09,1.01828e+09,5.04909e+08,2.9684e+09,0.5002,0.105
S10,Vel0_set,2.00576,0.215311,0.105904,19.172,1.17,0.195
S10,Vel0_res,1.45281,8.12486,0.101653,19.1956,1.271,0.265
S10,gap_max_set,1.70469e-09,1.88285e-09,1.04685e-09,2.52038e-09,0.2701,0.07
S10,gap_max_res,1.69456e-09,1.14887e-09,1.05154e-09,2.51124e-09,0.2481,0.055
S10,gap_ini_set,1.24961e-09,1.30385e-09,5.32037e-10,2.20808e-09,0.4204,0.01
S10,gap_ini_res,1.48665e-10,1.18447e-10,5.95364e-11,2.42359e-10,0.384,0.015
S11,I0,0.00407574,0.00157344,0.000470627,0.00919533,0.5301,0.005
S11,g0,4.22593e-10,4.06075e-10,1.64102e-10,4.98702e-10,0.2588,0.075
S11,Rs,196.274,115.343,10.6065,3309.25,1.388,1
S11,V0_set,0.942129,1.20285,0.613857,1.33717,0.2169,0
S11,V0_res,0.852581,0.910507,0.63213,1.26781,0.202,0
S11,gamma0_set,16.9223,21.2616,4.17118,23.7424,0.4169,0.05
S11,Ea_set,0.357816,0.877549,0.104652,0.938229,0.644,0.055
S11,Ea_res,0.658426,0.610369,0.110524,0.981811,0.4576,0.05
S11,F_min_set,1.09219e+09,1.3962e+09,5.14335e+08,2.83605e+09,0.5348,0.045
S11,F_min_res,1.43499e+09,1.34168e+09,5.66519e+08,2.95266e+09,0.4868,0.02
S11,Vel0_set,2.05771,4.89152,0.108047,19.0112,1.144,0.21
S11,Vel0_res,0.972951,3.27447,0.105673,18.3236,1.345,0.275
S11,gap_max_set,1.75438e-09,2.20527e-09,1.0579e-09,2.52914e-09,0.2563,0.06
S11,gap_max_res,1.67111e-09,1.02788e-09,1.0283e-09,2.53664e-09,0.2748,0.1
S11,gap_ini_set,1.16688e-09,1.32482e-09,5.41841e-10,2.19436e-09,0.4141,0.005
S11,gap_ini_res,1.41773e-10,1.17591e-10,5.59974e-11,2.43994e-10,0.3952,0.025
S12,I0,0.00491063,0.00231029,0.000308404,0.00967536,0.5707,0.02
S12,g0,3.3323e-10,2.79057e-10,1.70768e-10,4.94451e-10,0.286,0.03
S12,Rs,338.001,17.8453,10.4546,3175.18,1.206,1
S12,V0_set,1.03703,0.624504,0.0607369,1.90713,0.6766,0.05
S12,V0_res,1.04022,1.21713,0.0752103,1.87511,0.5309,0.03
S12,gamma0_set,17.6725,5.95176,4.82783,23.7938,0.3912,0.03
S12,Ea_set,0.418123,0.857987,0.105836,0.977811,0.5756,0.075
S12,Ea_res,0.611804,0.679333,0.120892,0.975922,0.4776,0.015
S12,F_min_set,1.04778e+09,9.16597e+08,5.14442e+08,2.90239e+09,0.535,0.06
S12,F_min_res,1.54934e+09,2.07526e+09,5.63544e+08,2.96461e+09,0.4495,0.025
S12,Vel0_set,2.23563,1.21666,0.109902,19.078,1.159,0.24
S12,Vel0_res,2.32497,12.3053,0.110054,18.4771,1.194,0.245
S12,gap_max_set,1.73262e-09,1.09911e-09,1.01835e-09,2.51032e-09,0.2586,0.07
S12,gap_max_res,1.5955e-09,1.05874e-09,1.02554e-09,2.46048e-09,0.2595,0.105
S12,gap_ini_set,1.23433e-09,9.29389e-10,5.39345e-10,2.22137e-09,0.388,0
S12,gap_ini_res,1.51234e-10,1.22466e-10,5.48046e-11,2.4016e-10,0.3762,0.025
