File Name,Corresponding Data Point,Maximum Subtraction
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_34_55 PM].csv",0.85,0.0001381
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_35_01 PM].csv",0.875,0.00014904000000000002
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_35_08 PM].csv",0.875,0.00014997999999999997
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_35_14 PM].csv",0.725,0.000112318
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_35_20 PM].csv",0.775,0.000121794
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_35_26 PM].csv",0.875,0.00011410000000000001
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_35_33 PM].csv",0.875,0.0001362
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_35_39 PM].csv",0.75,0.00019258800000000002
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_35_45 PM].csv",0.875,0.00013027999999999998
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_35_52 PM].csv",0.775,0.000134244
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_35_59 PM].csv",0.75,9.394000000000001e-05
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_36_05 PM].csv",0.875,0.00015528
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_36_11 PM].csv",0.85,9.659999999999999e-05
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_36_18 PM].csv",0.85,0.00011056
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_36_24 PM].csv",0.925,0.00011236000000000004
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_36_31 PM].csv",0.875,0.00014272
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_36_37 PM].csv",0.75,0.00011711000000000001
"[B6-04-4um-01,SET-RESET,34,9_4_2024 1_50_21 PM].csv",4.575,0.00049977174
"[B6-04-4um-01,SET-RESET,34,9_4_2024 1_50_27 PM].csv",0.65,0.000196306
"[B6-04-4um-01,SET-RESET,34,9_4_2024 1_50_33 PM].csv",0.625,0.00040225799999999996
"[B6-04-4um-03,SET-RESET,36,9_4_2024 1_51_51 PM].csv",1.225,0.0004927986
"[B6-04-4um-03,SET-RESET,36,9_4_2024 1_51_57 PM].csv",0.975,0.0004955212
"[B6-04-4um-03,SET-RESET,36,9_4_2024 1_52_04 PM].csv",1.05,0.0004969109
"[B6-04-4um-03,SET-RESET,36,9_4_2024 1_52_11 PM].csv",1.15,0.0004970263
"[B6-04-4um-03,SET-RESET,36,9_4_2024 1_52_17 PM].csv",1.225,0.00049897682
"[B6-04-4um-03,SET-RESET,36,9_4_2024 1_52_23 PM].csv",0.775,0.0004966428
"[B6-04-4um-03,SET-RESET,36,9_4_2024 1_52_29 PM].csv",1.1,0.0004983324999999999
"[B6-04-4um-03,SET-RESET,36,9_4_2024 1_52_35 PM].csv",1.3,0.0004974917
"[B6-04-4um-03,SET-RESET,36,9_4_2024 1_52_41 PM].csv",1.1,0.000496815
"[B6-04-4um-03,SET-RESET,36,9_4_2024 1_52_48 PM].csv",0.85,0.000398544
"[B6-04-4um-03,SET-RESET,36,9_4_2024 1_52_54 PM].csv",0.875,9.748e-05
"[B6-04-4um-03,SET-RESET,36,9_4_2024 1_53_01 PM].csv",0.85,0.00012498
"[B6-04-4um-03,SET-RESET,36,9_4_2024 1_53_07 PM].csv",0.75,0.00020754199999999999
"[B6-04-4um-03,SET-RESET,36,9_4_2024 1_53_13 PM].csv",0.975,0.00011040000000000003
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_57_25 PM].csv",1.2,0.000346458
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_57_31 PM].csv",0.725,0.000487714
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_57_37 PM].csv",0.825,0.000479432
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_57_44 PM].csv",0.875,0.000490434
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_57_50 PM].csv",0.85,0.000487164
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_57_57 PM].csv",0.725,0.00048320799999999994
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_58_03 PM].csv",0.625,0.00044795800000000004
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_58_11 PM].csv",0.7,0.00047907399999999996
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_58_18 PM].csv",0.8,0.00049194
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_58_24 PM].csv",0.75,0.0004915859
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_58_30 PM].csv",0.725,0.00048544
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_58_36 PM].csv",0.85,0.000485914
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_58_42 PM].csv",0.8,0.0004919329
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_58_48 PM].csv",0.65,0.00048363599999999996
"[B7-01-4um-01,SET-RESET,51,9_4_2024 2_58_54 PM].csv",0.75,0.000482322
