condition,parameter,theta_point,bs_median,ci_lo,ci_hi,refined_inside_ci
S9,Vel0_set,9.432291029188582,1.7375118363929587,0.11565055689185862,17.457706714718725,True
S9,Vel0_res,1.202525803866811,2.368603059799863,0.11860972633263112,19.00568479414057,True
S9,gap_max_set,1.8691957394849264e-09,1.6674461600941056e-09,1.0337960496071317e-09,2.5298189122654415e-09,True
S9,gap_max_res,1.151439000580642e-09,1.5768939600624929e-09,1.0235073451200743e-09,2.4985357212450436e-09,True
S9,gap_ini_set,1.3457258399548648e-09,1.2327058450025998e-09,5.647542990214401e-10,2.241458199616204e-09,True
S9,gap_ini_res,9.969410684929151e-11,1.6030793239793416e-10,5.484963561878624e-11,2.439873153627715e-10,True
S10,I0,0.004814326948008866,0.006792411955609506,0.00035986635256123246,0.009814596209375451,True
S10,g0,2.4228292890119e-10,3.341349460831911e-10,1.874272608828087e-10,4.938588033570216e-10,True
S10,Rs,133.7283315162685,44.545700527099335,10.025701237823723,2085.2094951763715,True
S10,V0_set,1.5710903786037447,0.7783336850517908,0.07807659855328362,1.946051817528436,True
S10,V0_res,1.735484150308185,1.1190041487376823,0.07993267370718178,1.9822471996693065,True
S10,gamma0_set,9.535292528532551,16.896042444736196,4.502689668050821,23.91637235780856,True
S10,Ea_set,0.1954715871671504,0.5090453590583212,0.11144447769871374,0.9750277580875883,True
S10,Ea_res,0.677126118564685,0.5630104892372105,0.12627909635868842,0.9623122869459415,True
S10,F_min_set,984694176.0884416,1187949027.3193688,518328350.3077918,2898109414.3188996,True
S10,F_min_res,1018280018.6831402,1389726042.3308148,504908778.6464244,2968398596.495435,True
S10,Vel0_set,0.21531118175811254,2.005763047026601,0.10590427824626066,19.172012087284195,True
S10,Vel0_res,8.124860281582682,1.4528118726577683,0.10165335614936476,19.19564783729885,True
S10,gap_max_set,1.8828473329300576e-09,1.7046940988858449e-09,1.0468546429842776e-09,2.520380378160633e-09,True
S10,gap_max_res,1.1488740954317303e-09,1.6945576190973023e-09,1.051543690304103e-09,2.511242100163797e-09,True
S10,gap_ini_set,1.303849636736908e-09,1.2496060244824963e-09,5.32036612004687e-10,2.2080774264209094e-09,True
S10,gap_ini_res,1.1844654237571502e-10,1.4866456328687222e-10,5.953641431378439e-11,2.423592407661255e-10,True
S11,I0,0.0015734406510305144,0.004075742178579905,0.0004706265869923725,0.009195332593886897,True
S11,g0,4.060750799202203e-10,4.225927154044153e-10,1.6410161915315217e-10,4.98701848161593e-10,True
S11,Rs,115.3432461688135,196.27421007613003,10.606474682984198,3309.245963288272,True
S11,V0_set,1.2028472434407123,0.9421287182642855,0.6138568064958676,1.3371739867570258,True
S11,V0_res,0.9105071546842854,0.8525813396964669,0.6321297307019579,1.2678091938008869,True
S11,gamma0_set,21.261558267828406,16.922285023097544,4.171180362584029,23.74241710736325,True
S11,Ea_set,0.8775487370638962,0.3578164561872916,0.10465154918335344,0.9382286964097364,True
S11,Ea_res,0.6103688774438601,0.6584258571962518,0.11052361337179385,0.9818105246640031,True
S11,F_min_set,1396204255.0235715,1092187856.2109857,514334561.648432,2836046539.5115814,True
