condition,mode,eigenvalue,eigenvalue_norm
S6,6,24.70851695780777,0.00231674253093441
S6,7,0.2291843275245201,2.1488990209583435e-05
S6,8,2.1988806459762022e-07,2.0617345515639463e-11
S6,9,1.741103135941789e-08,1.6325090221592571e-12
S6,10,3.996872731421873e-34,3.7475843100696536e-38
S6,11,0.0,0.0
S6,12,0.0,0.0
S6,13,0.0,0.0
S6,14,0.0,0.0
S6,15,0.0,0.0
S6,16,0.0,0.0
S7,1,11351.827789413695,1.0
S7,2,2267.9910803790845,0.1997908286182892
S7,3,163.5862257095791,0.014410562663938024
S7,4,95.50618294306841,0.008413286804098105
S7,5,15.46390870489096,0.0013622395434250722
S7,6,0.10923976597499441,9.623099293037855e-06
S7,7,1.7023799404886586e-08,1.4996527185483175e-12
S7,8,2.9742815021619565e-15,2.6200904007156135e-19
S7,9,4.1350508104654175e-32,3.642629968648411e-36
S7,10,1.5280921304576533e-48,1.346119901398343e-52
S7,11,7.29283715483009e-52,6.424372612163062e-56
S7,12,5.367535156841183e-66,4.728344418549718e-70
S7,13,0.0,0.0
S7,14,0.0,0.0
S7,15,0.0,0.0
S7,16,0.0,0.0
S8,1,9283.072400258789,1.0
S8,2,3505.260656091067,0.37759703953115237
S8,3,182.43864436691499,0.019652830065381054
S8,4,116.78442543573632,0.012580363526248127
S8,5,48.016421257558,0.005172470835864581
S8,6,4.308959078888774,0.0004641738093918832
S8,7,0.8624358880953696,9.290414325232744e-05
S8,8,0.00038391914635830133,4.1356905322379976e-08
S8,9,1.7747738235002468e-18,1.911838825528034e-22
S8,10,3.940293101682367e-31,4.244600205393768e-35
S8,11,2.3517527691606364e-33,2.5333776014663804e-37
S8,12,5.4122728622257814e-36,5.830260315620183e-40
S8,13,0.0,0.0
S8,14,0.0,0.0
S8,15,0.0,0.0
S8,16,0.0,0.0
S9,1,61546.918172284815,1.0
S9,2,34319.624385681724,0.5576172683352355
S9,3,8391.261842590953,0.13633926915888409
S9,4,127.78742630952627,0.002076260357209408
S9,5,51.24348629522231,0.0008325922372226553
