condition,device_id,total_cycles,good_cycles
S8,A8-02-4um-08,19,19
S8,A8-02-4um-09,20,20
S8,A8-02-4um-10,20,20
S8,A8-02-4um-11,20,20
S8,A8-02-4um-12,20,20
S8,B7-02-4um-01,20,20
S8,B7-02-4um-02,20,20
S8,B7-02-4um-03,20,20
S8,B7-02-4um-04,20,20
S8,B7-02-4um-05,20,20
S8,B7-02-4um-06,20,20
S8,B7-02-4um-07,20,20
S8,B7-02-4um-08,20,20
S8,B7-02-4um-09,20,20
S8,B7-02-4um-10,20,20
S8,B7-02-4um-11,20,20
S8,B7-02-4um-12,20,20
S8,C3-04-4um-01,20,20
S8,C3-04-4um-02,20,20
S8,C3-04-4um-03,20,20
S8,C3-04-4um-04,20,20
S8,C3-04-4um-05,20,20
S8,C3-04-4um-06,20,20
S8,C3-04-4um-07,20,20
S8,C3-04-4um-08,20,20
S8,C3-04-4um-09,20,20
S8,C3-04-4um-10,20,20
S8,C3-04-4um-11,20,20
S8,C3-04-4um-12,20,20
S8,D1-01-4um-01,20,20
S8,D1-01-4um-02,20,20
S8,D1-01-4um-03,2,2
S8,D1-01-4um-04,20,20
S8,D1-01-4um-05,20,20
S8,D1-01-4um-06,20,20
S8,D1-01-4um-07,20,20
S8,D1-01-4um-08,20,20
S8,D1-01-4um-09,20,20
S8,D1-01-4um-10,20,20
S8,D1-01-4um-11,20,20
S8,D1-01-4um-12,20,20
S9,B7-03-4um-01,20,20
S9,B7-03-4um-02,20,20
S9,B7-03-4um-03,20,20
S9,B7-03-4um-04,20,20
S9,B7-03-4um-05,20,20
S9,B7-03-4um-06,20,20
S9,B7-03-4um-07,20,20
S9,B7-03-4um-08,20,20
S9,B7-03-4um-09,20,20
S9,B7-03-4um-10,20,20
S9,B7-03-4um-11,20,20
S9,B7-03-4um-12,20,20
S9,C3-04-4um-01,20,20
S9,C3-04-4um-02,20,20
S9,C3-04-4um-03,20,20
S9,C3-04-4um-04,20,20
S9,C3-04-4um-05,20,20
S9,C3-04-4um-06,20,20
S9,C3-04-4um-07,20,20
S9,C3-04-4um-08,20,20
S9,C3-04-4um-09,20,20
S9,C3-04-4um-10,20,20
S9,C3-04-4um-11,20,20
S9,C3-04-4um-12,20,20
S9,D1-01-4um-01,20,20
S9,D1-01-4um-02,20,20
S9,D1-01-4um-03,20,20
S9,D1-01-4um-04,20,20
S9,D1-01-4um-05,20,20
S9,D1-01-4um-06,20,20
S9,D1-01-4um-07,20,20
S9,D1-01-4um-08,20,20
S9,D1-01-4um-09,20,20
S9,D1-01-4um-10,20,20
S9,D1-01-4um-12,20,20
S9,D4-02-4um-01,20,20
S9,D4-02-4um-02,20,20
S9,D4-02-4um-03,20,20
S9,D4-02-4um-04,20,20
S9,D4-02-4um-05,20,20
S9,D4-02-4um-06,20,20
S9,D4-02-4um-07,20,20
S9,D4-02-4um-08,20,20
S9,D4-02-4um-09,20,20
S9,D4-02-4um-10,20,20
S9,D4-02-4um-12,20,20
S10,A7-02-4um-08,7,7
S10,A7-02-4um-10,2,2
S10,A7-02-4um-12,8,8
S10,A8-01-4um-01,10,10
